"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "comment", "blank", "total"
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-step/recipe-steps-modal/recipe-steps-modal.component.html", "HTML", 0, 0, -145, 0, -2, -3, -150
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-step/recipe-steps-modal/recipe-steps-modal.component.ts", "TypeScript", 0, -524, 0, 0, -25, -52, -601
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/add-recipe-tool-modal/add-recipe-tool-modal.component.html", "HTML", 0, 0, -84, 0, -2, -2, -88
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/add-recipe-tool-modal/add-recipe-tool-modal.component.ts", "TypeScript", 0, -108, 0, 0, 0, -10, -118
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/delete-recipe-tool-modal/delete-recipe-tool-modal.component.html", "HTML", 0, 0, -65, 0, 0, -1, -66
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/delete-recipe-tool-modal/delete-recipe-tool-modal.component.ts", "TypeScript", 0, -75, 0, 0, -1, -7, -83
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/recipe-tools-modal/recipe-tools-modal.component.html", "HTML", 0, 0, -108, 0, -2, -3, -113
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe-tool/recipe-tools-modal/recipe-tools-modal.component.ts", "TypeScript", 0, -252, 0, 0, -5, -18, -275
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/add-recipe-modal/add-recipe-modal.component.html", "HTML", 0, 0, -44, 0, -6, -6, -56
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/add-recipe-modal/add-recipe-modal.component.ts", "TypeScript", 0, -93, 0, 0, -7, -13, -113
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/from-url-add-recipe-modal/from-url-add-recipe-modal.component.html", "HTML", 0, 0, -96, 0, -5, -5, -106
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/from-url-add-recipe-modal/from-url-add-recipe-modal.component.ts", "TypeScript", 0, -197, 0, 0, -7, -17, -221
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/manual-add-recipe-modal/manual-add-recipe-modal.component.html", "HTML", 0, 0, -225, 0, -2, -4, -231
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/manual-add-recipe-modal/manual-add-recipe-modal.component.ts", "TypeScript", 0, -212, 0, 0, -2, -21, -235
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/recipe-card/recipe-card.component.html", "HTML", 0, 0, -68, 0, 0, -1, -69
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/recipe-card/recipe-card.component.ts", "TypeScript", 0, -66, 0, 0, -2, -4, -72
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/vision-add-recipe-modal/vision-add-recipe-modal.component.html", "HTML", 0, 0, -111, 0, -4, -4, -119
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipe/vision-add-recipe-modal/vision-add-recipe-modal.component.ts", "TypeScript", 0, -200, 0, 0, -11, -18, -229
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipes-info/recipes-info.component.html", "HTML", 0, 0, -4, 0, 0, -1, -5
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/recipes-page/ui/recipes-info/recipes-info.component.ts", "TypeScript", 0, -10, 0, 0, 0, -3, -13
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/subscribed-recipes/subscribed-recipes.component.html", "HTML", 0, 0, -4, 0, 0, -1, -5
"/home/josh/repos/doughleap/frontend/src/app/recipes/feature/subscribed-recipes/subscribed-recipes.component.ts", "TypeScript", 0, -9, 0, 0, 0, -2, -11
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-category/recipe-category-actions.ts", "TypeScript", 0, -31, 0, 0, 0, -5, -36
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-category/recipe-category-effects.ts", "TypeScript", 0, -38, 0, 0, 0, -3, -41
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-category/recipe-category-reducers.ts", "TypeScript", 0, -56, 0, 0, 0, -3, -59
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-category/recipe-category-selectors.ts", "TypeScript", 0, -17, 0, 0, 0, -8, -25
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-category/recipe-category-state.ts", "TypeScript", 0, -22, 0, 0, 0, -3, -25
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-ingredient/recipe-ingredient-actions.ts", "TypeScript", 0, -76, 0, 0, 0, -7, -83
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-ingredient/recipe-ingredient-effects.ts", "TypeScript", 0, -191, 0, 0, 0, -8, -199
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-ingredient/recipe-ingredient-reducers.ts", "TypeScript", 0, -134, 0, 0, 0, -4, -138
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-ingredient/recipe-ingredient-selectors.ts", "TypeScript", 0, -30, 0, 0, -1, -10, -41
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-ingredient/recipe-ingredient-state.ts", "TypeScript", 0, -25, 0, 0, 0, -2, -27
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-page-actions.ts", "TypeScript", 0, -8, 0, 0, 0, -1, -9
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-page-reducers.ts", "TypeScript", 0, -10, 0, 0, 0, -2, -12
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-page-selectors.ts", "TypeScript", 0, -4, 0, 0, 0, -2, -6
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-page-state.ts", "TypeScript", 0, -3, 0, 0, 0, 0, -3
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-step/recipe-step-actions.ts", "TypeScript", 0, -36, 0, 0, 0, -8, -44
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-step/recipe-step-effects.ts", "TypeScript", 0, -196, 0, 0, -3, -10, -209
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-step/recipe-step-reducers.ts", "TypeScript", 0, -98, 0, 0, 0, -2, -100
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-step/recipe-step-selectors.ts", "TypeScript", 0, -18, 0, 0, 0, -8, -26
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-step/recipe-step-state.ts", "TypeScript", 0, -21, 0, 0, 0, -3, -24
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-tool/recipe-tool-actions.ts", "TypeScript", 0, -76, 0, 0, 0, -6, -82
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-tool/recipe-tool-effects.ts", "TypeScript", 0, -180, 0, 0, 0, -7, -187
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-tool/recipe-tool-reducers.ts", "TypeScript", 0, -133, 0, 0, 0, -5, -138
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-tool/recipe-tool-selectors.ts", "TypeScript", 0, -34, 0, 0, -1, -10, -45
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe-tool/recipe-tool-state.ts", "TypeScript", 0, -20, 0, 0, 0, -3, -23
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe/recipe-actions.ts", "TypeScript", 0, -182, 0, 0, 0, -14, -196
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe/recipe-effects.ts", "TypeScript", 0, -393, 0, 0, -3, -19, -415
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe/recipe-reducers.ts", "TypeScript", 0, -216, 0, 0, 0, -3, -219
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe/recipe-selectors.ts", "TypeScript", 0, -38, 0, 0, 0, -13, -51
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/recipe/recipe-state.ts", "TypeScript", 0, -77, 0, 0, -1, -13, -91
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/step/step-actions.ts", "TypeScript", 0, -34, 0, 0, 0, -6, -40
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/step/step-effects.ts", "TypeScript", 0, -116, 0, 0, 0, -6, -122
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/step/step-reducers.ts", "TypeScript", 0, -93, 0, 0, 0, -2, -95
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/step/step-selectors.ts", "TypeScript", 0, -19, 0, 0, 0, -9, -28
"/home/josh/repos/doughleap/frontend/src/app/recipes/state/step/step-state.ts", "TypeScript", 0, -19, 0, 0, 0, -2, -21
"/home/josh/repos/doughleap/frontend/src/app/routes.ts", "TypeScript", 0, -180, 0, 0, 0, -2, -182
