"filename", "language", "JSON", "JavaScript", "Log", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\db.js", "JavaScript", 0, 29, 0, 1, 7, 37
"c:\Users\Josh\repos\doughleap\server\middleware\errorHandling.js", "JavaScript", 0, 83, 0, 9, 13, 105
"c:\Users\Josh\repos\doughleap\server\middleware\multer.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\Josh\repos\doughleap\server\middleware\queryParsing.js", "JavaScript", 0, 13, 0, 2, 4, 19
"c:\Users\Josh\repos\doughleap\server\middleware\validating.js", "JavaScript", 0, 14, 0, 0, 3, 17
"c:\Users\Josh\repos\doughleap\server\modules\clients\handler.js", "JavaScript", 0, 76, 0, 0, 7, 83
"c:\Users\Josh\repos\doughleap\server\modules\clients\processor.js", "JavaScript", 0, 148, 0, 9, 22, 179
"c:\Users\Josh\repos\doughleap\server\modules\clients\router.js", "JavaScript", 0, 20, 0, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\employees\handler.js", "JavaScript", 0, 90, 0, 0, 7, 97
"c:\Users\Josh\repos\doughleap\server\modules\employees\processor.js", "JavaScript", 0, 223, 0, 18, 36, 277
"c:\Users\Josh\repos\doughleap\server\modules\employees\router.js", "JavaScript", 0, 20, 0, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\handler.js", "JavaScript", 0, 53, 0, 0, 6, 59
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\processor.js", "JavaScript", 0, 149, 0, 12, 24, 185
"c:\Users\Josh\repos\doughleap\server\modules\ingredientStocks\router.js", "JavaScript", 0, 25, 0, 0, 6, 31
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\handler.js", "JavaScript", 0, 56, 0, 0, 6, 62
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\processor.js", "JavaScript", 0, 129, 0, 11, 22, 162
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\handler.js", "JavaScript", 0, 52, 0, 0, 6, 58
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\processor.js", "JavaScript", 0, 128, 0, 9, 24, 161
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\recipe\router.js", "JavaScript", 0, 25, 0, 0, 6, 31
"c:\Users\Josh\repos\doughleap\server\modules\ingredients\router.js", "JavaScript", 0, 22, 0, 0, 7, 29
"c:\Users\Josh\repos\doughleap\server\modules\invoices\handler.js", "JavaScript", 0, 45, 0, 0, 5, 50
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\handler.js", "JavaScript", 0, 32, 0, 0, 4, 36
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\processor.js", "JavaScript", 0, 42, 0, 1, 9, 52
"c:\Users\Josh\repos\doughleap\server\modules\invoices\logs\router.js", "JavaScript", 0, 10, 0, 0, 5, 15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\handler.js", "JavaScript", 0, 29, 0, 0, 4, 33
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\processor.js", "JavaScript", 0, 41, 0, 2, 11, 54
"c:\Users\Josh\repos\doughleap\server\modules\invoices\notes\router.js", "JavaScript", 0, 10, 0, 0, 5, 15
"c:\Users\Josh\repos\doughleap\server\modules\invoices\processor.js", "JavaScript", 0, 101, 0, 3, 18, 122
"c:\Users\Josh\repos\doughleap\server\modules\invoices\router.js", "JavaScript", 0, 15, 0, 0, 6, 21
"c:\Users\Josh\repos\doughleap\server\modules\orders\handler.js", "JavaScript", 0, 70, 0, 0, 7, 77
"c:\Users\Josh\repos\doughleap\server\modules\orders\processor.js", "JavaScript", 0, 152, 0, 16, 37, 205
"c:\Users\Josh\repos\doughleap\server\modules\orders\router.js", "JavaScript", 0, 22, 0, 2, 7, 31
"c:\Users\Josh\repos\doughleap\server\modules\payments\handler.js", "JavaScript", 0, 32, 0, 0, 4, 36
"c:\Users\Josh\repos\doughleap\server\modules\payments\processor.js", "JavaScript", 0, 86, 0, 5, 22, 113
"c:\Users\Josh\repos\doughleap\server\modules\payments\router.js", "JavaScript", 0, 10, 0, 0, 6, 16
"c:\Users\Josh\repos\doughleap\server\modules\persons\handler.js", "JavaScript", 0, 78, 0, 0, 7, 85
"c:\Users\Josh\repos\doughleap\server\modules\persons\processor.js", "JavaScript", 0, 130, 0, 9, 26, 165
"c:\Users\Josh\repos\doughleap\server\modules\persons\router.js", "JavaScript", 0, 20, 0, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\handler.js", "JavaScript", 0, 52, 0, 0, 7, 59
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\processor.js", "JavaScript", 0, 114, 0, 6, 26, 146
"c:\Users\Josh\repos\doughleap\server\modules\products\stock\router.js", "JavaScript", 0, 25, 0, 0, 5, 30
"c:\Users\Josh\repos\doughleap\server\modules\products\task\handler.js", "JavaScript", 0, 56, 0, 0, 7, 63
"c:\Users\Josh\repos\doughleap\server\modules\products\task\processor.js", "JavaScript", 0, 133, 0, 9, 24, 166
"c:\Users\Josh\repos\doughleap\server\modules\products\task\router.js", "JavaScript", 0, 20, 0, 0, 5, 25
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\handler.js", "JavaScript", 0, 43, 0, 0, 6, 49
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\processor.js", "JavaScript", 0, 79, 0, 6, 21, 106
"c:\Users\Josh\repos\doughleap\server\modules\recipes\categories\router.js", "JavaScript", 0, 24, 0, 0, 5, 29
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\handler.js", "JavaScript", 0, 53, 0, 0, 7, 60
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\processor.js", "JavaScript", 0, 108, 0, 6, 23, 137
"c:\Users\Josh\repos\doughleap\server\modules\recipes\components\router.js", "JavaScript", 0, 25, 0, 0, 5, 30
"c:\Users\Josh\repos\doughleap\server\modules\recipes\handler.js", "JavaScript", 0, 57, 0, 0, 7, 64
"c:\Users\Josh\repos\doughleap\server\modules\recipes\processor.js", "JavaScript", 0, 137, 0, 7, 22, 166
"c:\Users\Josh\repos\doughleap\server\modules\recipes\router.js", "JavaScript", 0, 24, 0, 0, 6, 30
"c:\Users\Josh\repos\doughleap\server\modules\steps\handler.js", "JavaScript", 0, 50, 0, 0, 6, 56
"c:\Users\Josh\repos\doughleap\server\modules\steps\processor.js", "JavaScript", 0, 111, 0, 4, 18, 133
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\handler.js", "JavaScript", 0, 50, 0, 0, 6, 56
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\processor.js", "JavaScript", 0, 197, 0, 16, 30, 243
"c:\Users\Josh\repos\doughleap\server\modules\steps\recipe\router.js", "JavaScript", 0, 20, 0, 0, 6, 26
"c:\Users\Josh\repos\doughleap\server\modules\steps\router.js", "JavaScript", 0, 22, 0, 0, 7, 29
"c:\Users\Josh\repos\doughleap\server\modules\tags\handler.js", "JavaScript", 0, 51, 0, 0, 7, 58
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\handler.js", "JavaScript", 0, 41, 0, 0, 6, 47
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\processor.js", "JavaScript", 0, 92, 0, 3, 16, 111
"c:\Users\Josh\repos\doughleap\server\modules\tags\order\router.js", "JavaScript", 0, 12, 0, 0, 5, 17
"c:\Users\Josh\repos\doughleap\server\modules\tags\processor.js", "JavaScript", 0, 103, 0, 3, 21, 127
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\handler.js", "JavaScript", 0, 40, 0, 0, 6, 46
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\processor.js", "JavaScript", 0, 92, 0, 3, 15, 110
"c:\Users\Josh\repos\doughleap\server\modules\tags\recipe\router.js", "JavaScript", 0, 12, 0, 0, 5, 17
"c:\Users\Josh\repos\doughleap\server\modules\tags\router.js", "JavaScript", 0, 17, 0, 0, 6, 23
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\handler.js", "JavaScript", 0, 55, 0, 0, 7, 62
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\processor.js", "JavaScript", 0, 150, 0, 8, 26, 184
"c:\Users\Josh\repos\doughleap\server\modules\toolStocks\router.js", "JavaScript", 0, 20, 0, 0, 5, 25
"c:\Users\Josh\repos\doughleap\server\modules\tools\handler.js", "JavaScript", 0, 51, 0, 0, 7, 58
"c:\Users\Josh\repos\doughleap\server\modules\tools\processor.js", "JavaScript", 0, 113, 0, 7, 20, 140
"c:\Users\Josh\repos\doughleap\server\modules\tools\recipe\handler.js", "JavaScript", 0, 53, 0, 0, 7, 60
"c:\Users\Josh\repos\doughleap\server\modules\tools\recipe\processor.js", "JavaScript", 0, 133, 0, 10, 24, 167
"c:\Users\Josh\repos\doughleap\server\modules\tools\recipe\router.js", "JavaScript", 0, 20, 0, 0, 5, 25
"c:\Users\Josh\repos\doughleap\server\modules\tools\router.js", "JavaScript", 0, 22, 0, 0, 6, 28
"c:\Users\Josh\repos\doughleap\server\package-lock.json", "JSON", 2752, 0, 0, 0, 1, 2753
"c:\Users\Josh\repos\doughleap\server\package.json", "JSON", 20, 0, 0, 0, 1, 21
"c:\Users\Josh\repos\doughleap\server\request.log", "Log", 0, 0, 1264, 0, 1, 1265
"c:\Users\Josh\repos\doughleap\server\schemas\client-types.js", "JavaScript", 0, 73, 0, 0, 7, 80
"c:\Users\Josh\repos\doughleap\server\schemas\employee-types.js", "JavaScript", 0, 84, 0, 0, 7, 91
"c:\Users\Josh\repos\doughleap\server\schemas\ingredient-types.js", "JavaScript", 0, 195, 0, 3, 21, 219
"c:\Users\Josh\repos\doughleap\server\schemas\invoice-types.js", "JavaScript", 0, 122, 0, 0, 12, 134
"c:\Users\Josh\repos\doughleap\server\schemas\order-types.js", "JavaScript", 0, 64, 0, 0, 7, 71
"c:\Users\Josh\repos\doughleap\server\schemas\orderTask-types.js", "JavaScript", 0, 56, 0, 0, 7, 63
"c:\Users\Josh\repos\doughleap\server\schemas\payment-types.js", "JavaScript", 0, 27, 0, 0, 3, 30
"c:\Users\Josh\repos\doughleap\server\schemas\person-types.js", "JavaScript", 0, 73, 0, 0, 7, 80
"c:\Users\Josh\repos\doughleap\server\schemas\recipe-types.js", "JavaScript", 0, 146, 0, 0, 18, 164
"c:\Users\Josh\repos\doughleap\server\schemas\step-types.js", "JavaScript", 0, 101, 0, 2, 13, 116
"c:\Users\Josh\repos\doughleap\server\schemas\stockProduct-types.js", "JavaScript", 0, 51, 0, 0, 7, 58
"c:\Users\Josh\repos\doughleap\server\schemas\tag-types.js", "JavaScript", 0, 117, 0, 0, 15, 132
"c:\Users\Josh\repos\doughleap\server\schemas\tool-types.js", "JavaScript", 0, 153, 0, 3, 21, 177
"c:\Users\Josh\repos\doughleap\server\server.js", "JavaScript", 0, 60, 0, 3, 11, 74
"c:\Users\Josh\repos\doughleap\server\services\taxes.js", "JavaScript", 0, 6, 0, 0, 2, 8
"Total", "-", 2772, 6085, 1264, 208, 1012, 11341
