"filename", "language", "JavaScript", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\add-tool-stock-modal\add-tool-stock-modal.component.html", "HTML", 0, 0, -99, 0, 0, -2, -4, -105
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\add-tool-stock-modal\add-tool-stock-modal.component.ts", "TypeScript", 0, -122, 0, 0, 0, -1, -14, -137
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\delete-tool-stock-modal\delete-tool-stock-modal.component.html", "HTML", 0, 0, -53, 0, 0, 0, -1, -54
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\delete-tool-stock-modal\delete-tool-stock-modal.component.ts", "TypeScript", 0, -53, 0, 0, 0, -1, -7, -61
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\edit-tool-stock-modal\edit-tool-stock-modal.component.html", "HTML", 0, 0, -87, 0, 0, -2, -3, -92
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\tool-inventory\ui\edit-tool-stock-modal\edit-tool-stock-modal.component.ts", "TypeScript", 0, -128, 0, 0, 0, 0, -16, -144
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\data\ingredient.service.ts", "TypeScript", 0, -99, 0, 0, 0, -1, -15, -115
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ingredients.component.html", "HTML", 0, 0, -127, 0, 0, -9, -7, -143
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ingredients.component.ts", "TypeScript", 0, -202, 0, 0, 0, -3, -24, -229
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\state\ingredient-actions.ts", "TypeScript", 0, -76, 0, 0, 0, 0, -5, -81
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\state\ingredient-effects.ts", "TypeScript", 0, -120, 0, 0, 0, 0, -10, -130
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\state\ingredient-reducers.ts", "TypeScript", 0, -101, 0, 0, 0, 0, -3, -104
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\state\ingredient-selectors.ts", "TypeScript", 0, -13, 0, 0, 0, 0, -7, -20
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\state\ingredient-state.ts", "TypeScript", 0, -23, 0, 0, 0, 0, -3, -26
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\add-ingredient-modal\add-ingredient-modal.component.html", "HTML", 0, 0, -124, 0, 0, -2, -7, -133
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\ingredients\ui\add-ingredient-modal\add-ingredient-modal.component.ts", "TypeScript", 0, -110, 0, 0, 0, 0, -11, -121
