"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\server\middleware\ID.js", "JavaScript", 55, 12, 11, 78
"c:\Users\Josh\repos\doughleap\server\middleware\auth.js", "JavaScript", 29, 2, 5, 36
"c:\Users\Josh\repos\doughleap\server\middleware\errorHandling.js", "JavaScript", 83, 9, 13, 105
"c:\Users\Josh\repos\doughleap\server\middleware\multer.js", "JavaScript", 0, 0, 1, 1
"c:\Users\Josh\repos\doughleap\server\middleware\queryParsing.js", "JavaScript", 13, 2, 4, 19
"c:\Users\Josh\repos\doughleap\server\middleware\test_ID.js", "JavaScript", 28, 2, 7, 37
"c:\Users\Josh\repos\doughleap\server\middleware\validating.js", "JavaScript", 18, 0, 3, 21
"Total", "-", 226, 27, 44, 297
