"filename", "language", "TypeScript", "HTML", "Draw.io", "comment", "blank", "total"
"/home/josh/repos/doughleap/frontend/src/app/account/feature/login/login-page.component.html", "HTML", 0, 99, 0, 7, 8, 114
"/home/josh/repos/doughleap/frontend/src/app/account/feature/login/login-page.component.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"/home/josh/repos/doughleap/frontend/src/app/account/feature/login/login-page.component.ts", "TypeScript", 152, 0, 0, 11, 16, 179
"/home/josh/repos/doughleap/frontend/src/app/account/feature/password/password-reset-page.component.html", "HTML", 0, 1, 0, 0, 1, 2
"/home/josh/repos/doughleap/frontend/src/app/account/feature/password/password-reset-page.component.ts", "TypeScript", 10, 0, 0, 0, 3, 13
"/home/josh/repos/doughleap/frontend/src/app/account/feature/signup/signup-page.component.html", "HTML", 0, 102, 0, 55, 8, 165
"/home/josh/repos/doughleap/frontend/src/app/account/feature/signup/signup-page.component.ts", "TypeScript", 89, 0, 0, 0, 9, 98
"/home/josh/repos/doughleap/frontend/src/app/account/feature/verify/verify.component.html", "HTML", 0, 1, 0, 0, 1, 2
"/home/josh/repos/doughleap/frontend/src/app/account/feature/verify/verify.component.ts", "TypeScript", 10, 0, 0, 0, 3, 13
"/home/josh/repos/doughleap/frontend/src/app/app.component.html", "HTML", 0, 6, 0, 0, 1, 7
"/home/josh/repos/doughleap/frontend/src/app/app.component.spec.ts", "TypeScript", 25, 0, 0, 0, 5, 30
"/home/josh/repos/doughleap/frontend/src/app/app.component.ts", "TypeScript", 132, 0, 0, 29, 11, 172
"/home/josh/repos/doughleap/frontend/src/app/footer/feature/app-footer.component.html", "HTML", 0, 253, 0, 3, 1, 257
"/home/josh/repos/doughleap/frontend/src/app/footer/feature/app-footer.component.ts", "TypeScript", 140, 0, 0, 1, 15, 156
"/home/josh/repos/doughleap/frontend/src/app/groceries/data/shopping-list-ingredient.service.ts", "TypeScript", 92, 0, 0, 0, 10, 102
"/home/josh/repos/doughleap/frontend/src/app/groceries/data/shopping-list-recipe.service.ts", "TypeScript", 38, 0, 0, 0, 8, 46
"/home/josh/repos/doughleap/frontend/src/app/groceries/data/shopping-list.service.ts", "TypeScript", 38, 0, 0, 0, 8, 46
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/draft-page/draft-page.component.html", "HTML", 0, 174, 0, 7, 4, 185
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/draft-page/draft-page.component.ts", "TypeScript", 588, 0, 0, 17, 24, 629
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/shopping-page/shopping-page.component.html", "HTML", 0, 182, 0, 12, 5, 199
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/shopping-page/shopping-page.component.ts", "TypeScript", 249, 0, 0, 5, 15, 269
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/shopping-page/ui/purchase-ingredients-modal/purchase-ingredients-modal.component.html", "HTML", 0, 72, 0, 2, 3, 77
"/home/josh/repos/doughleap/frontend/src/app/groceries/feature/shopping-page/ui/purchase-ingredients-modal/purchase-ingredients-modal.component.ts", "TypeScript", 50, 0, 0, 0, 7, 57
"/home/josh/repos/doughleap/frontend/src/app/groceries/groceries-page/groceries-page.component.html", "HTML", 0, 5, 0, 0, 1, 6
"/home/josh/repos/doughleap/frontend/src/app/groceries/groceries-page/groceries-page.component.ts", "TypeScript", 90, 0, 0, 0, 8, 98
"/home/josh/repos/doughleap/frontend/src/app/groceries/state/shopping-list-actions.ts", "TypeScript", 77, 0, 0, 0, 7, 84
"/home/josh/repos/doughleap/frontend/src/app/groceries/state/shopping-list-effects.ts", "TypeScript", 154, 0, 0, 0, 11, 165
